real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,din_2019,din_2020,din_2021,din_2022
0,60.7717,108.251,46.8021,41.5835,17.667,11.2134,20.9007,58.1225,12.2841,41.0724,34.3218,16.3325,10.6627,29.6124
1,62.9102,103.32,52.427,46.2678,17.2981,9.85242,19.9533,59.9505,10.4175,39.966,35.3667,13.9828,9.50145,30.5299
2,61.1412,99.9673,50.9858,45.1368,16.9066,9.56771,19.4017,58.1594,10.2519,39.045,34.6259,13.7155,9.38859,29.7536
3,61.9303,102.991,50.7984,44.9922,17.3456,10.0998,19.9953,58.9521,10.7397,39.8416,34.9819,14.4413,9.73242,30.101
4,60.3406,103.323,48.1948,42.7192,17.0483,10.2963,19.9616,57.5709,11.2017,39.7634,34.0997,14.9319,9.9557,29.3433
5,60.8595,99.3857,50.673,44.9331,16.9687,9.61009,19.4117,57.7774,10.304,38.931,34.5305,13.8442,9.45329,29.696
6,38.8291,69.8845,27.2265,25.6403,12.2444,8.07464,13.943,36.9312,10.1845,29.7968,24.8036,12.8173,9.00946,19.1687
7,66.5693,113.854,53.9131,47.4774,18.6692,11.189,21.9032,63.531,11.789,42.9197,36.9342,15.8999,10.4451,32.3227
8,64.8271,111.437,52.1821,46.1175,18.3694,11.1721,21.4759,61.9258,11.8212,42.2225,36.2956,15.8141,10.4459,31.5222
9,73.3242,123.045,61.036,53.1718,20.1414,11.3751,23.9248,69.4124,11.9973,45.9257,39.3836,16.7127,10.7169,35.9901
10,55.1263,90.1342,45.2914,40.4734,15.4628,8.82877,17.5998,52.392,9.81077,36.0987,31.9915,12.9311,9.01345,26.8647
11,56.0664,98.08,43.4607,38.8307,16.2926,10.0956,19.1251,53.4114,11.4014,38.204,32.1618,15.0781,10.0327,27.4735
12,44.9663,81.9726,32.0179,29.4917,13.8545,9.2875,16.062,43.0836,11.0115,33.2006,27.4982,14.089,9.6028,21.9704
13,55.7348,97.6071,42.9804,38.6123,16.1618,10.5294,18.5946,53.8217,11.1566,37.7656,32.6737,14.4269,9.82902,26.6554
14,56.6572,98.3056,44.3528,39.7818,16.5006,10.3287,19.0346,54.1898,11.2934,38.2715,32.8892,14.7797,9.99095,27.5312
15,57.8462,99.1738,45.9362,40.9847,16.6023,10.0811,19.2433,55.1867,11.1047,38.596,33.1998,14.6616,9.87957,28.1916
16,68.0988,116.785,55.2718,48.435,18.993,11.221,22.5963,64.7406,12.0434,43.8695,37.2144,16.4156,10.6216,33.3375
17,54.6417,94.8615,42.2342,37.9597,16.0036,9.99786,18.4589,52.2244,11.0718,37.1876,31.8592,14.572,9.82641,26.5406
18,45.9458,76.2974,36.1554,33.1862,13.674,8.2041,15.1576,43.6457,9.60151,32.0143,28.3036,12.2615,8.79137,22.5238
19,39.2398,66.4408,29.2835,27.3337,11.8207,7.3864,13.1865,37.3576,9.12567,28.8439,25.0619,11.4321,8.31767,19.154
20,66.4283,127.136,47.8943,42.2715,19.8307,13.7445,24.2254,64.0726,14.8033,46.1146,36.6337,19.775,12.3048,32.2085
21,69.2001,113.004,58.5616,51.2398,18.6421,10.4421,21.6952,65.9122,10.6721,42.8408,38.0013,14.5815,9.74897,33.4993
22,60.331,103.576,47.974,42.5157,17.0614,10.3681,19.9667,57.6682,11.2165,39.7658,34.118,14.9528,9.9538,29.2593
23,62.8421,105.929,51.0856,45.1319,17.7404,10.2409,20.729,59.5378,11.2489,40.7798,35.0647,15.2835,10.0898,30.839
24,60.9284,102.106,49.3504,43.8043,17.0561,10.2785,19.5583,58.4375,10.632,39.3123,34.7701,14.141,9.60615,29.2136
25,63.9994,108.899,51.7961,45.7476,17.9272,10.7787,20.9073,61.1863,11.3586,41.4092,35.89,15.1952,10.1128,30.9724
26,66.5182,113.064,54.2485,47.6005,18.4477,10.798,21.8522,63.2459,11.6071,42.7667,36.5537,15.7738,10.3118,32.4904
27,66.9756,113.043,54.8939,48.3162,18.9016,10.8909,22.1238,63.4353,11.7466,42.9792,36.9445,16.0755,10.4977,32.9328
28,65.1677,109.719,53.4028,47.118,18.1795,10.731,21.1326,62.1687,11.2669,41.776,36.4279,15.1395,10.0969,31.6151
29,65.8736,107.568,55.7175,48.8973,18.0808,9.6912,21.2069,61.9227,10.8157,41.6326,36.1007,14.8942,9.87032,32.6565
30,60.8797,103.188,49.1625,43.6312,17.2091,10.3096,19.9265,58.1569,11.059,39.7929,34.5779,14.6923,9.88799,29.5594
31,59.9424,103.608,47.309,42.2376,17.2122,10.8776,19.7719,57.7107,11.3479,39.6694,34.5789,14.8612,10.0512,28.7358
32,58.4174,103.745,44.8879,40.0738,17.1994,10.7992,20.2381,55.6499,12.1075,39.8789,33.2845,16.0827,10.5507,28.6746
33,63.5587,117.91,47.2213,42.027,18.81,12.8946,22.3249,61.5161,13.5253,43.5161,36.0185,17.7504,11.4583,30.5005
34,61.4756,110.809,46.7241,41.5053,17.6845,11.8138,20.8699,59.5529,12.2938,41.4038,34.9825,16.1001,10.592,29.2899
35,56.3889,101.858,42.1051,37.7691,16.7452,10.9568,19.6665,54.098,12.0988,39.0266,32.5435,15.9392,10.4834,27.3317
36,62.9254,102.306,52.8248,46.4961,17.2975,9.37834,20.1234,59.366,10.3622,39.9046,34.9179,14.2103,9.51681,30.9761
37,68.3568,114.939,56.4374,49.5586,18.8787,11.1085,22.0564,65.2854,11.4576,43.3101,37.7806,15.4857,10.2476,33.1285
38,59.1493,97.3102,48.7965,43.5707,16.6849,9.84146,18.7772,56.6063,10.2743,38.1617,34.2996,13.4784,9.38928,28.5367
39,55.7273,98.6182,42.5392,38.3714,16.4813,10.8489,18.8572,53.8311,11.5276,38.1003,32.868,14.8826,10.1037,26.7147
40,57.7209,98.0436,46.0694,41.1367,16.3557,10.1548,18.7093,55.5879,10.6495,38.0474,33.5002,13.8747,9.53355,27.6528
41,59.9294,104.224,47.1424,41.8133,17.202,10.4307,20.3319,56.9322,11.6746,40.0897,33.702,15.6658,10.2829,29.4199
42,59.2735,103.948,46.0191,40.9924,17.2291,10.6904,20.2238,56.4517,11.8139,39.909,33.6433,15.788,10.3807,28.9396
43,62.6594,113.161,47.8961,42.4674,18.2743,11.8095,21.7767,60.0136,12.8482,42.4656,35.1465,17.0835,11.043,30.5347
44,48.6378,80.1983,38.7371,35.1961,13.9078,8.48789,15.4729,46.7081,9.311,32.8737,29.5637,11.85,8.56427,23.2848
45,62.1075,101.537,51.9531,45.9587,17.2432,9.6241,19.8272,58.8675,10.441,39.6276,34.9833,14.058,9.55389,30.4012
46,47.8921,82.136,36.8702,33.4148,14.0271,8.49379,16.2256,45.4237,10.1879,33.571,28.5045,13.2479,9.12961,23.5892
47,69.8405,122.851,55.5707,48.5815,19.6492,11.9305,23.7024,66.4694,12.8909,45.5284,37.8116,17.5984,11.1765,34.2222
48,66.4255,112.82,54.1423,47.7146,18.55,11.1281,21.5993,63.5966,11.5361,42.5875,37.0721,15.4578,10.2649,32.1032
49,68.9567,116.008,56.8371,49.7327,19.0776,10.8477,22.5968,65.2582,11.67,43.7859,37.4864,16.1242,10.4383,33.8379
50,65.9612,107.586,55.7513,49.0981,18.3708,9.95331,21.3017,62.0212,10.9437,41.7067,36.4332,15.0541,10.0082,32.7026
51,64.4431,113.317,50.3928,44.5175,18.2988,11.6658,21.5195,62.0862,12.0731,42.3461,36.1666,16.0854,10.536,30.8799
52,61.2605,101.395,50.7403,44.9839,17.2677,9.73331,19.9681,57.8537,10.8197,39.6731,34.5142,14.5716,9.81291,30.2431
53,61.0338,101.857,50.1297,44.3384,17.1393,9.75633,19.9947,57.7541,10.8815,39.6907,34.2411,14.6679,9.80885,30.0943
54,62.1773,109.265,48.5741,43.1476,18.0172,11.3117,21.0955,59.4879,12.1362,41.4308,35.1476,16.1765,10.6152,30.2123
55,67.6375,109.986,57.3192,50.2627,18.5846,10.0295,21.6409,63.7663,10.8318,42.3004,37.0554,15.0031,9.92253,33.3577
56,65.3292,109.627,53.8915,47.2559,18.0723,10.1812,21.4349,61.7677,11.3018,41.9655,35.7955,15.4487,10.1124,32.2481
57,68.1637,114.641,55.9998,49.2513,18.997,11.2161,22.0652,65.1172,11.4979,43.2002,37.8,15.6066,10.3029,32.9917
58,69.2249,117.068,56.9727,50.0595,19.2392,11.4176,22.4574,66.1345,11.7375,43.9412,38.2643,15.8489,10.4543,33.5506
59,64.5559,108.028,53.3486,46.9803,18.0711,10.1696,21.2466,60.8862,11.3327,41.6224,35.6527,15.4485,10.1772,31.9632
60,56.5546,97.2398,44.3864,39.7158,16.3782,10.0744,18.9408,53.9348,11.0627,37.9655,32.6279,14.661,9.85528,27.5213
61,68.9685,117.333,56.4859,49.4357,19.0802,11.1722,22.6159,65.6901,11.846,44.0276,37.6811,16.1304,10.4911,33.6612
62,63.2872,104.899,52.3599,46.2263,17.7444,9.98955,20.6483,59.7643,10.9726,40.6574,35.2539,14.9631,9.94421,31.195
63,68.7776,114.34,57.2262,50.103,18.9123,10.644,22.2386,65.1415,11.3126,43.3166,37.536,15.6136,10.2072,33.6529
64,52.4168,86.236,42.3067,38.0818,14.7587,8.88574,16.5702,50.3131,9.52075,34.6547,31.1503,12.2904,8.74855,25.0768
65,60.4058,102.592,48.4045,43.1236,17.1139,10.5829,19.5832,58.0666,10.9349,39.4115,34.7395,14.3928,9.795,28.9112
66,60.3545,103.601,48.0835,42.9176,17.4976,10.7038,20.1428,57.5723,11.5158,39.9749,34.5625,15.2776,10.2376,29.4067
67,52.9042,93.4477,40.0612,36.1966,15.8185,9.98869,18.3536,50.3197,11.414,36.8295,30.9804,15.0246,10.0534,25.9272
