real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,din_2019,din_2020,din_2021,din_2022
0,88.9574,161.966,70.1013,60.4643,24.9888,16.0051,30.6164,85.4641,15.9829,56.66,46.4169,22.1342,13.4086,43.0544
1,85.4904,140.157,73.7973,63.7124,22.623,12.4972,26.683,81.5363,12.0059,50.971,45.1273,16.8776,10.8494,41.3657
2,85.2533,139.352,73.7761,63.745,22.5932,12.4192,26.5775,81.2433,11.9473,50.7944,45.0732,16.7936,10.8252,41.2955
3,219.227,453.709,159.197,131.833,62.4042,46.6483,82.5457,214.598,42.5362,138.99,102.176,60.621,31.8723,104.406
4,105.533,183.352,88.21,75.2881,28.2547,16.839,34.473,101.142,15.7663,63.2802,53.6128,22.4682,13.5104,50.918
5,102.759,167.661,90.2667,77.2778,26.9059,14.5487,31.9217,97.8009,13.2615,59.3336,52.6679,19.2688,11.9781,49.7989
6,143.465,330.522,87.5825,73.381,44.5425,37.7317,60.0261,142.148,37.3272,102.245,69.4191,50.9798,27.4153,68.1461
7,154.83,303.359,117.858,98.8903,43.3418,30.3012,55.7835,150.455,28.026,96.8091,74.7142,39.798,21.8842,74.0943
8,91.5131,153.019,78.2935,67.461,24.5047,13.8983,29.131,87.2829,13.2858,54.7824,47.8157,18.7337,11.789,44.3939
9,198.431,419.485,139.81,115.794,57.3939,43.6769,76.6275,194.083,41.1418,129.001,92.5145,58.3132,30.6865,94.9764
10,86.5733,141.486,75.0109,64.7374,22.878,12.5446,26.958,82.4939,12.0179,51.4167,45.612,16.9456,10.8851,41.9168
11,147.438,320.78,98.3109,82.3064,44.0347,34.9642,58.5856,144.929,34.0262,100.32,71.0358,47.0866,25.4372,70.3792
12,40.0548,75.4081,26.8028,25.2031,12.7838,8.97174,14.8103,38.4969,10.9663,31.1496,25.3655,13.8053,9.48511,19.5853
13,164.774,365.449,107.501,89.7118,49.4495,40.6529,65.9993,163.209,38.5957,112.361,79.1046,53.16,28.4819,77.7687
14,48.9248,86.9348,36.5112,33.3486,14.7846,9.63409,16.9637,46.8225,11.038,34.8187,29.4957,14.1696,9.70965,23.8457
15,164.199,364.425,107.155,89.3863,49.4545,40.25,66.1724,162.073,38.7861,112.338,78.4836,53.5936,28.6489,78.0216
16,189.839,405.913,131.643,109.124,55.2779,42.7804,73.9673,186.122,40.5299,124.852,88.9166,57.0418,30.1255,90.7015
17,166,366.842,108.79,90.7252,49.8777,40.4755,66.6084,163.858,38.754,112.995,79.3123,53.6963,28.6685,78.7496
18,29.8597,49.4777,21.2365,21.0267,9.86931,6.18505,10.3207,28.1681,8.39206,24.0902,21.3339,10.1144,7.79374,14.8968
19,31.6518,53.4706,22.4037,21.7197,10.0234,6.32294,10.9236,29.9261,8.53108,25.0804,21.6977,10.437,7.84444,15.6594
20,61.6351,117.27,44.2566,39.3365,18.5132,12.7876,22.4408,59.3941,14.0056,43.2845,34.586,18.5679,11.731,29.9238
21,77.729,126.956,66.6016,57.8196,20.6515,11.4956,24.1975,74.1453,11.2555,46.9756,41.7565,15.6199,10.2427,37.5231
22,126.076,227.216,103.01,87.1868,34.0192,21.3048,42.2999,121.46,19.4602,75.6962,62.464,27.955,16.1202,60.5465
23,186.664,400.403,128.566,106.736,54.7491,42.4612,73.0722,182.993,40.3523,123.265,87.708,56.7734,30.0243,89.1876
24,178.185,386.789,120.124,99.955,52.5283,42.0841,69.8873,176.015,39.3361,118.658,84.8102,54.7365,29.1555,84.0878
25,203.855,429.091,144.642,119.923,58.6811,44.8366,77.9147,200.019,41.4754,131.581,95.5408,58.5584,30.9293,96.9644
26,191.786,409.137,133.429,110.585,55.6997,43.0289,74.4823,188.065,40.6214,125.76,89.8078,57.2043,30.2071,91.5284
27,192.255,409.74,133.931,111.199,56.2599,43.2129,74.9258,188.198,40.9687,126.202,90.1848,57.7699,30.5347,92.0883
28,205.053,431.095,145.789,120.919,59.0652,45.0351,78.3505,201.085,41.6556,132.247,96.1092,58.8445,31.0887,97.6148
29,67.8317,110.74,57.5865,50.416,18.5393,9.89853,21.8004,63.7685,10.9551,42.591,36.9225,15.158,9.98923,33.6182
30,197.923,419.431,139.073,115.399,57.3695,44.158,76.2296,194.303,41.1382,128.765,92.9888,57.913,30.6412,94.2261
31,53.4591,90.3258,42.3442,38.2421,15.4419,9.63206,17.343,51.445,10.2697,35.837,31.8601,13.209,9.27319,25.6014
32,115.197,215.845,90.2288,76.696,32.3294,21.0458,40.6393,110.661,20.5305,72.342,57.3984,29.105,16.7043,55.973
33,95.9969,193.991,67.9295,58.5554,28.4026,21.2412,35.7574,93.9758,20.8567,64.797,49.9698,28.1795,16.4886,45.6413
34,66.9254,124.992,49.5988,43.7682,19.4183,13.4946,23.3532,65.1025,13.8316,45.3098,37.3307,18.2293,11.6246,31.8059
35,63.3919,119.5,46.0593,40.8722,18.9028,12.9553,22.7856,61.1398,13.95,43.9198,35.491,18.5466,11.7327,30.6156
36,79.7589,129.634,68.8206,59.5136,21.2838,11.2129,25.246,75.2435,11.5856,48.1537,42.0202,16.5204,10.5635,39.2288
37,203.503,428.513,144.356,119.679,58.6045,44.8229,77.8442,199.678,41.4736,131.438,95.3653,58.5455,30.9235,96.852
38,51.9707,85.5265,42.0105,38.0558,14.972,9.05842,16.5488,49.8707,9.70907,34.5935,31.3034,12.4262,8.91339,24.9813
39,145.411,317.674,96.1475,80.9095,43.7925,35.4527,57.617,143.785,33.8322,99.1539,71.1698,46.3704,25.2877,68.7296
40,169.144,372.556,111.645,93.0401,50.426,41.0876,67.2776,167.42,38.857,114.459,80.9291,53.6655,28.6936,79.8648
41,115.783,217.889,90.2607,76.5729,32.3479,21.1927,40.9198,111.296,20.674,72.7987,57.4308,29.3494,16.7688,56.1629
42,168.206,370.385,110.977,92.4783,50.4092,40.5484,67.419,165.617,38.9995,114.181,80.0251,54.213,28.8832,80.0532
43,139.556,277.625,103.947,87.5081,39.7064,28.2396,51.2626,135.58,26.8913,89.3209,67.9343,37.8234,20.9489,67.0674
44,48.5994,79.9545,38.7801,35.2555,13.9031,8.48108,15.4236,46.6857,9.27442,32.8118,29.5952,11.787,8.54434,23.252
45,77.5258,126.69,66.5703,57.8688,20.8777,11.3735,24.4685,73.5249,11.5489,47.1745,41.5699,16.0978,10.4925,37.8744
46,30.8638,53.269,21.1927,20.7026,9.94429,6.43163,10.8719,29.2723,8.71424,24.9542,21.3587,10.63,7.93906,15.2762
47,86.9545,153.688,70.5392,60.7156,23.9352,14.4102,29.3686,82.8534,14.7785,54.6193,45.0568,20.7124,12.6272,42.5178
48,200.948,424.465,141.874,117.729,58.0992,44.5995,77.0806,197.293,41.3468,130.225,94.4178,58.2424,30.8179,95.5731
49,198.986,420.355,140.319,116.199,57.5031,43.672,76.7879,194.555,41.162,129.258,92.7075,58.3898,30.7124,95.2386
50,76.337,124.474,65.6318,57.1242,20.8093,11.0604,24.4677,71.7942,11.7048,46.8108,40.7789,16.4831,10.6529,37.8121
51,78.9565,140.936,62.3335,54.249,22.0857,14.26,26.4228,76.338,13.9249,50.2925,42.5758,18.94,11.9132,37.639
52,76.0881,125.579,64.804,56.4358,20.7619,11.3967,24.4461,71.9211,11.8913,46.9394,40.8216,16.5537,10.7208,37.4532
53,71.5475,118.773,60.2095,52.5426,19.5994,10.8706,23.1508,67.6835,11.6009,44.801,38.6862,16.0367,10.4298,35.2394
54,165.696,366.734,108.564,90.572,49.8673,40.4811,66.6267,163.496,38.8968,113.039,79.1876,53.8086,28.754,78.7403
55,35.6942,58.2726,27.0113,25.5543,10.969,6.48694,11.9451,33.6101,8.53186,26.7043,23.4903,10.6346,7.93511,17.7566
56,179.974,389.801,122.358,101.495,52.9343,41.5322,71.0614,176.649,39.8402,120.065,84.5598,55.8059,29.5308,86.0501
57,216.732,449.667,156.807,129.901,61.8471,46.421,81.7724,212.325,42.3546,137.757,101.196,60.2542,31.7151,103.151
