,gauge_126001A_SandyCkHomebush:Downstream Flow Volume,gauge_126001A_SandyCkHomebush:Constituents@N_DIN@Downstream Flow Mass,gauge_126001A_SandyCkHomebush:Constituents@N_DON@Downstream Flow Mass,gauge_126001A_SandyCkHomebush:Constituents@N_Particulate@Downstream Flow Mass,gauge_126001A_SandyCkHomebush:Constituents@P_DOP@Downstream Flow Mass,gauge_126001A_SandyCkHomebush:Constituents@P_FRP@Downstream Flow Mass,gauge_126001A_SandyCkHomebush:Constituents@P_Particulate@Downstream Flow Mass
2007-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-05,648.7181776143489,0.10777531270433525,0.2597845255463143,0.21823162106386057,0.017476022122939656,0.0690569426674555,0.06644474028586013
2007-09-06,2057.300935296207,0.3492857359949134,0.9090371092815954,1.5772986000535394,0.06007001195573776,0.237844011860451,0.49130848856610193
2007-09-07,3883.6623353631658,0.6664021732326388,1.8000229524722653,4.66127628706873,0.1182887237492371,0.46866686078365294,1.4342666215900144
2007-09-08,5635.317742777763,0.9697726563016564,2.6782359848026007,7.949979516145515,0.17574825477995468,0.6964991362228168,2.431423999061475
2007-09-09,7030.3240907281,1.2071026930528201,3.3850708089750645,10.675900884469748,0.22215020579420985,0.880451588404126,3.257197558026221
2007-09-10,7991.72425419381,1.3641123354424267,3.8696916332813545,12.697293187143186,0.2540980184264088,1.0070354460760922,3.8738952554760604
2007-09-11,8555.030159249007,1.4478874554545642,4.144956118926681,14.07112428085383,0.27232608920032336,1.079167872922458,4.300356196782953
2007-09-12,8796.66452217882,1.4734054439049296,4.249337945483022,14.916989245813728,0.2792729693103792,1.1065355870089046,4.572037726401453
2007-09-13,8796.932450549371,1.4563559565851352,4.225742406795825,15.355211592456474,0.27771134691937666,1.1001525454734546,4.723614879253872
2007-09-14,8625.489655155456,1.4102447784164625,4.11239657882788,15.48672664115287,0.2701439969218078,1.0699595877448558,4.783749780614472
2007-09-15,8337.845012070156,1.3456745194137405,3.9401135321546423,15.390793148036002,0.2586103430584586,1.024055564721925,4.774824977702846
2007-09-16,7976.266453918077,1.270530082723692,3.7323516308212437,15.128356798207939,0.2446776380532133,0.9686623550722806,4.714109188702584
2007-09-17,7572.012076075225,1.1904520724772074,3.5062757517326135,13.935017900798115,0.22950179356817987,0.908366874814651,4.361140661401395
2007-09-18,7147.677185094966,1.1093413976840438,3.274034738869309,12.580213346844205,0.21390625911041566,0.8464348781347936,3.9544765147692584
2007-09-19,6719.224993810309,1.0297980645783824,3.043936555330958,11.276279149881843,0.19845699305084472,0.7851091988783518,3.5602295302866978
2007-09-20,6297.634156709588,0.9534745786319536,2.821430539161757,10.055773715778255,0.18352654921736428,0.7258646499325809,3.188668041344104
2007-09-21,5890.189019085072,0.8813481020519855,2.6098862987029015,8.935448029594669,0.16934575748742878,0.6696135261665158,2.8453596929673384
2007-09-22,5501.4694825249935,0.813924120432923,2.4111911274539155,7.921365928887135,0.15604388688469245,0.6168652563262382,2.532647105843785
2007-09-23,5134.104477583318,0.7513864760840204,2.226199710385279,7.012694351238892,0.14367918365159293,0.5678477446202409,2.25074849630307
2007-09-24,4789.337069478854,0.6937057264791815,2.0550653485771715,6.20440670151842,0.13226154021967687,0.5225974031680795,1.9985509064761062
2007-09-25,4467.445148069783,0.6407163962295821,1.8974804647934707,5.489153556750772,0.1217690502584531,0.48102486745228623,1.7741667777491692
2007-09-26,4168.051641999202,0.5921712455565289,1.7528485906066158,4.858516311316303,0.11215989543859602,0.4429621525306542,1.5753137153411125
2007-09-27,3890.3509661799,0.547778778788931,1.6204054151927327,4.303816976261689,0.10338073332149753,0.40819590564766145,1.3995656913466743
2007-09-28,3633.2724781243414,0.5072286722448256,1.4993024728371231,3.816616984616006,0.09537250360446957,0.3764904052543802,1.2445129281811158
2007-09-29,3395.5969434430153,0.4702085896278211,1.3886637599251734,3.3890035135136323,0.08807435590471323,0.34760310335955075,1.1078583244893736
2007-09-30,3176.0382230487594,0.4364149254901751,1.2876229663308476,3.0137344354110724,0.081426228620329,0.3212948164389907,0.9874707641514628
2007-10-01,2973.299426895808,0.4055593192803991,1.1953469899061064,2.684292066681486,0.07537047186365968,0.29733612651158153,0.8814098560279887
2007-10-02,2786.1104794151106,0.3773722642593688,1.111049871331799,2.394880365846677,0.06985280253062297,0.2755111364403313,0.7879323188370901
2007-10-03,2613.2522773443197,0.35160475499237803,1.0340001400506889,2.1403890189782238,0.0648228003414271,0.2556194084072178,0.7054870567905759
2007-10-04,2453.571278687161,0.328028640167006,0.9635237135896677,1.9163399097310845,0.06023409470015572,0.23747668001944808,0.632703697022846
2007-10-05,2305.9873488027624,0.3064361475097462,0.8990038708406035,1.7188259766580531,0.05604434880453145,0.22091478000221831,0.5683777570800722
2007-10-06,2169.4969305739123,0.2866389041947037,0.8398793680375236,1.5444486301295979,0.052215115792294105,0.20578103976523637,0.5114544828880324
2007-10-07,2043.173040153164,0.26846667401792285,0.7856414402611609,1.3902574025753776,0.048711618843505854,0.19193740636882267,0.4610126346672243
2007-10-08,1926.1631708835157,0.2517659603579225,0.7358301978762588,1.253693842873557,0.04550249076554364,0.17925939738843327,0.41624897672374767
2007-10-09,1817.685879254039,0.23639857317870652,0.6900307612891612,1.1325411749887606,0.042559496928280975,0.16763499195356665,0.3764658365112901
2007-10-10,1717.0266003444121,0.22224022294418128,0.6478693602105403,1.0248782348349157,0.039857257191972854,0.156963519650724,0.3410558783338759
2007-10-11,1623.5330750218345,0.2091791798730802,0.6090095415529795,0.9290390509586156,0.03737297672058251,0.14715458621718225,0.30948867845030803
2007-10-12,1536.6106512780516,0.19711502027826433,0.5731485732084038,0.8435783158835718,0.03508619159654505,0.13812705922228874,0.2813016382073523
2007-10-13,3355.2160326152084,1.1207550446975356,1.2887627915597308,3.6620892380096275,0.08166762344230971,0.3220127773685943,1.1237134229184416
2007-10-14,5322.459932562873,2.357887093740575,2.153160262018647,8.025505983759189,0.13739158342276386,0.5425483798450456,2.513320783479506
2007-10-15,7359.62487357976,3.785267856204091,3.0894636258794046,13.84254968580665,0.19764538215200364,0.7810778687229685,4.332946593258869
2007-10-16,9168.972204223948,5.155801486646415,3.9340075149921674,19.984243242035248,0.2518521456751738,0.9956209362220848,6.248790962254907
2007-10-17,10580.673883556701,6.29569667631786,4.587770037507181,25.275946060515036,0.29356919667888487,1.160618387784051,7.907708524135583
2007-10-18,11536.763563866378,7.120063875650924,5.015348418674616,29.18535789416024,0.3204971069144849,1.266971990134334,9.148733122017687
2007-10-19,12055.784252427075,7.61608299951159,5.226207998717681,31.294350751323652,0.33328712318909404,1.317297939675735,9.838805302368895
2007-10-20,12199.340766888772,7.817190907146876,5.254453454786535,31.785877627727295,0.33421562876512484,1.3206537023698304,10.029120242650597
2007-10-21,12046.469477558938,7.779404419454144,5.143146293502729,30.98344224571339,0.32614357995262666,1.2884031122757358,9.814438252356375
2007-10-22,11676.673603122013,7.56411864710913,4.934370988402043,29.272041879438362,0.3118550406689274,1.2315921118791928,9.310378696395945
2007-10-23,11160.466594916667,7.227849075436161,4.664175119191034,27.009404547875377,0.2937219204198697,1.1596220304417173,8.626209224736654
2007-10-24,10555.433950411534,6.817496329224265,4.360861852869136,24.48405729351969,0.27359376872688124,1.0798164603965736,7.85143880524996
2007-10-25,9905.76035228388,6.369214592405639,4.045207146689131,21.905649334766537,0.2528162283762599,0.9974978981417355,7.052188360229458
2007-10-26,9243.622352622493,5.9092625957860685,3.7315781561375214,19.412901547317382,0.2323089181351287,0.9162990485108398,6.2730883598255085
2007-10-27,8591.29632607523,5.455674006812561,3.429301904361432,17.0883197569428,0.2126589154882303,0.8385350102653825,5.541434320435831
2007-10-28,7963.362487829832,5.020096106444387,3.1439636976241068,14.973615912910756,0.19420850099687909,0.7655519404911886,4.871728068546714
2007-10-29,7368.671512118673,4.609455619222633,2.8784931349308116,13.082934942370379,0.17712793208515995,0.6980158513072363,4.269666176170777
2007-10-30,6811.963358455243,4.227331046259436,2.634011504447566,11.413061570092259,0.16147176315954512,0.6361358669963046,3.7352754189498576
2007-10-31,6295.126798228096,3.875014257421467,2.4104601149727234,9.950737745493889,0.14722025652410722,0.5798282147141347,3.265199406533656
2007-11-01,5818.138997230086,3.552295464555449,2.2070481781232307,8.677610777301203,0.13430863907013324,0.528831969202645,2.8542721529283384
2007-11-02,5379.75444481782,3.2580299409001894,2.022565501508904,7.573432457236923,0.12264730535826072,0.482788891644689,2.496555992542851
2007-11-03,4977.989444061346,2.9905311094511764,1.8555917650427176,6.617994559024389,0.1121351774114276,0.4412961617484655,2.185985296748517
2007-11-04,4610.458739083544,2.7478383017306727,1.7046337080072984,5.792225119065077,0.10266832464413453,0.40394034972057435,1.9167440893052885
2007-11-05,4274.603149020251,2.5278936758643793,1.5682116008586455,5.078737444564236,0.09414528252455963,0.3703183350540498,1.6834668457869455
2007-11-06,5478.618348247674,3.032159247415542,1.950920611412099,8.287598477852734,0.12056574221807748,0.47439273520779834,2.699124299322358
2007-11-07,5926.237040261869,3.231814095782471,2.0860799474208496,9.566495741581418,0.13005546155878106,0.5119079460657033,3.169684523228117
2007-11-08,6126.7869726582685,3.338110805002207,2.148782702720005,10.118663547861848,0.13420183436907526,0.5283013486444973,3.3732627353887596
2007-11-09,6198.51803850365,3.3877313602882344,2.174397616725174,10.274668773150179,0.13547653024002987,0.5333185751815605,3.432791090849856
2007-11-10,6204.565191545571,3.3975628419622517,2.180457494955986,10.229657981662204,0.13518448476706688,0.532113346123625,3.420201559355265
2007-11-11,6173.792377015565,3.374439055440733,2.174057653215276,10.078549149136151,0.1339237069599641,0.5270550254815082,3.3706382998418762
2007-11-12,6116.519297617079,3.3212100935373425,2.157060102218661,9.85872127595155,0.13192343713264545,0.5190596282155223,3.298146310296969
2007-11-13,6034.600962176646,3.240037617168876,2.1292913376579796,9.580459939420248,0.12925486584698725,0.5084193852287361,3.2066895629748253
2007-11-14,5927.288617030201,3.133852563314231,2.0903082144277243,9.245184101193004,0.1259482621909204,0.495263695763434,3.0967446170118453
2007-11-15,5794.179308089257,3.0066597922862868,2.0401950533466797,8.854653902268051,0.12204705756672506,0.47977181422041526,2.9686760505800107
2007-11-16,5636.341738470841,2.8632472693128803,1.9797711515782,8.414433224842918,0.11762417268128085,0.46223698949234376,2.824064713041755
2007-11-17,6511.731352715993,3.2423473733282457,2.273957315213037,11.046084335703515,0.13625199826253656,0.5354319286489554,3.6168254559449293
2007-11-18,6803.695254439168,3.4022286480485278,2.3751881398459225,11.93180802113187,0.1421154767599506,0.558540621786167,3.9505730605676814
2007-11-19,6898.886271496223,3.479219656945272,2.412679504413728,12.201832148766517,0.14384248600267655,0.5653359983912415,4.061052079646976
2007-11-20,6847.653325068724,3.4806570710682414,2.400005049679055,12.016166666501558,0.14241230191718662,0.5596798946408696,4.010141689702534
2007-11-21,6689.7185844143305,3.418539176930313,2.348990300331155,11.512853790932356,0.13865278023473804,0.5448409345964405,3.8484002043211785
2007-11-22,6457.182689079651,3.3071306595422785,2.2700726637803728,10.806378851412811,0.13326562321577165,0.5235903091186827,3.616345587103892
2007-11-23,6175.810431342976,3.1606478733107983,2.172195197748814,9.98718909501406,0.12682901671650545,0.49821074270148485,3.3453109690546152
2007-11-24,5865.785511629463,2.991746421265432,2.062695350425419,9.122918817064171,0.11980074909589405,0.4705086008223356,3.0584210292607796
2007-11-25,5542.422598074925,2.8108213981014654,1.9473288374475706,8.261201797860512,0.11252812195634865,0.4418532872456601,2.7718373298276853
2007-11-26,5216.935299256165,2.6258877988456297,1.8304177396371972,7.433357494029466,0.10526330887101827,0.4132382452510188,2.496146358053203
2007-11-27,4897.215531294263,2.4427904849534516,1.7150677727817458,6.658202511471675,0.09818091499338684,0.3853505886518388,2.2377077760624484
2007-11-28,4588.555354324824,2.265557290180232,1.6034030703435993,5.945470249380104,0.09139497312026706,0.35863840935767927,1.9998289814010388
2007-11-29,4294.28520816852,2.0967849722875207,1.4967903127174285,5.298650493484432,0.08497416157582417,0.3333709734184402,1.7837258720814482
2007-11-30,4016.2908814004913,1.9379893529039809,1.3960291725007536,4.717150254283226,0.07895417152116971,0.3096875967855852,1.5892474909362146
2007-12-01,7725.553915129779,3.298041048916421,2.798406215605455,15.204380054940499,0.16854479731405886,0.6629727624202474,4.831092210426008
2007-12-02,10786.574655159297,4.336711015466363,4.108368240730527,26.62068192835449,0.2512399857498189,0.9900096994570463,8.557741005224033
2007-12-03,13345.493449105714,5.095900977177257,5.271483896897532,37.293765869601515,0.3241852391071164,1.2785640684870432,12.00417112199248
2007-12-04,15178.15415322638,5.52888944397775,6.1308042745765166,45.0834789450407,0.37761882928538876,1.4898633125971623,14.518880588194826
2007-12-05,16261.124322554315,5.669299458033053,6.644734788131656,50.12326532132525,0.40908518563879964,1.6141637995816724,16.161956885427678
2007-12-06,16682.30011604738,5.58383472357935,6.843837234847292,52.822561696368275,0.42067650686156743,1.6597828618024466,17.06692660682759
2007-12-07,16576.334553446475,5.3432923395310885,6.791733855378381,52.97668145347585,0.4165344915431219,1.6431618721253516,17.160897925103633
2007-12-08,16085.038709146553,5.0087829948702,6.559184352989361,50.095991943196736,0.40120181252445913,1.5823161839209408,16.27486843779504
2007-12-09,15335.959924823852,4.627247002202206,6.210048885749198,46.006288321915015,0.37873981118628053,1.4933367450335842,14.992549538203914
2007-12-10,14433.209669123213,4.231784101044359,5.79556955451564,41.34877760180161,0.35237934559390005,1.3890114516469303,13.517345751950064
2007-12-11,13455.880157959182,3.8440040985320563,5.353582575383778,36.58360308860198,0.3244842502516558,1.2786865250970554,11.996934501135886
2007-12-12,12460.505161578658,3.4768481569142793,4.91013934530802,32.00690392663758,0.29666461766527674,1.1687202582768759,10.52779779122105
2007-12-13,11485.178239716377,3.1371534634000278,4.481964443678223,27.786740629789442,0.2699395465631269,1.0631308850167154,9.165929835838394
2007-12-14,10553.874129430726,2.8276943055565766,4.078895912874745,24.000639770125748,0.2448957200568672,0.9642263620537871,7.938331344115334
2007-12-15,9680.296347690077,2.5486882412555274,3.7059572647975165,20.667294182595324,0.2218204053003694,0.8731317444220171,6.8528791970559455
2007-12-16,8870.997507467455,2.2988493051814487,3.3649652578371243,17.770319421019042,0.20080369775763263,0.7901941090686769,5.905828279999303
2007-12-17,8127.7461973615455,2.076087743211734,3.0557020976448697,15.274621031462287,0.18181237755013072,0.7152747321239759,5.087049693414515
2007-12-18,7449.254453677127,1.8779589221266302,2.7767361689816994,13.13699248329679,0.16474116073467412,0.6479516220864942,4.3834733282941
2007-12-19,6832.397037629005,1.7019395500459433,2.5259771687445953,11.312557855760828,0.14944702427580892,0.5876550118731299,3.781218054309658
2007-12-20,6273.0442811062785,1.5455880260304902,2.301038085945319,9.758397039143983,0.13577133070186262,0.5337545806336934,3.266819704771192
2007-12-21,5766.617960425636,1.4066309179156882,2.0994639702058433,8.435375239503523,0.12355360613157193,0.48561368449228,2.8278756758657577
2007-12-22,5308.4352443546995,1.2829992990305334,1.9188645122543206,7.308822898655732,0.11263936607110218,0.44262009128437707,2.453309401830094
2007-12-23,4893.94604494606,1.1728440494645012,1.7569972340897135,6.348674602544977,0.10288487605247038,0.4042046171131256,2.1334519148714355
2007-12-24,15628.87868884534,4.182165406043701,5.991847758639423,46.224191631018854,0.3764796202557461,1.4844471723856736,14.573492716028163
2007-12-25,33223.709633024,9.235219612126999,13.390399373007375,108.15003748901307,0.8544794180287744,3.3745088112709842,34.3538750576291
2007-12-26,1395677.9658429865,984.1371216971927,654.0615891160335,2167.1787157192725,42.27612821270187,167.4308711718091,670.011947745818
2007-12-27,1734125.008061906,1138.6426613954993,764.2445457371183,2472.3273351190696,49.39562142843077,195.4725002203574,781.272312175037
2007-12-28,1473858.6674046628,870.8586043562584,598.5710905394008,1992.901178994689,38.53476614961414,152.3170205644311,643.8355351274355
2007-12-29,1183548.2784826644,618.0848397565753,437.3824772753445,1535.207221683219,27.917503519722636,110.18368556161636,507.01959832711674
2007-12-30,839885.5438158234,398.57089256122197,288.9531272781608,1079.2367166125118,18.226483582124096,71.83233691601454,361.9855802680702
2007-12-31,577372.2546217798,254.49494373054603,187.67227927576707,748.0302025625912,11.689046933244379,46.003980407081514,253.416091743427
2008-01-01,399831.8040563117,166.2420141213155,124.03794208322091,525.476677636507,7.628518885752045,29.983819297175533,179.226185154476
2008-01-02,282770.82504329714,112.17498780676584,84.37357906099946,377.40252554519896,5.126354227369876,20.12443460140144,129.3372528707444
2008-01-03,204992.48971058207,78.26194299303414,59.192425445733605,277.59721993347546,3.5555010228921113,13.941980583718607,95.46712639377776
2008-01-04,152291.7107912753,56.32893635754456,42.76644774443802,208.92169956121708,2.541742631678766,9.956430246089369,72.04012124646586
2008-01-05,115743.72049625157,41.692108080964765,31.736893035482748,160.58780329660726,1.867911721842745,7.309955490800451,55.48813732835045
2008-01-06,89796.45858462453,31.630231723846542,24.120831815065536,125.80848818513685,1.4070374144636055,5.5015558642242,43.54222591559224
2008-01-07,70960.4002162653,24.52299054501371,18.7236792965105,100.2561679100534,1.0833313481560558,4.2324798904222245,34.74473694965027
2008-01-08,57002.29226862699,19.378359122870513,14.80764057133265,81.11943939184934,0.8503953771521221,3.3199949171667957,28.14343649169404
2008-01-09,46462.82256247902,15.57178046618306,11.905115291799097,66.53447257710349,0.6790682268070972,2.649349419318072,23.104335159117593
2008-01-10,44214.94587609914,14.434889611501832,11.389992701840633,70.70977542357394,0.6560905043894509,2.560973013951456,24.165610890960632
2008-01-11,193445.21194243553,61.08631857335349,52.898265852594264,326.5250057091589,3.2913659680342504,12.90302633085513,109.82495894498298
2008-01-12,532140.6325906878,202.43521755329502,154.2929179775115,690.6479751278818,9.45254328071201,37.10048134144147,235.1577245797637
2008-01-13,711715.6199922597,274.9048024598163,199.3702816181619,822.4806311518838,12.117397252065018,47.52061396461873,283.50679912873403
2008-01-14,669368.9360576996,250.70446750396684,179.073352204317,729.2877305374527,10.794729682713859,42.28129510331786,253.7388011469487
2008-01-15,698833.8876787756,254.84576971404067,183.23827638436194,663.0295643337892,11.110213107283652,43.518527336748754,233.6678570859901
2008-01-16,1865836.4204666056,686.4168313340646,531.717580188247,1363.3188726083183,32.976651195859205,129.49766189589778,480.2267894563529
2008-01-17,2201950.9675520305,763.4815464470269,595.0557101345644,1446.8372002687838,36.04720094971726,141.29181494672883,519.7883016418837
2008-01-18,2942222.100739284,904.8296151952956,772.9328801897132,1748.4485300381903,46.995958425462334,184.06906368716608,632.8244957686795
2008-01-19,3632417.4311424824,1122.213167749227,985.967927142646,1917.3688365909004,59.75632094137703,234.17873799782032,698.6112810584042
2008-01-20,17389856.841123175,5662.389396153256,6307.97004997964,8389.498204287116,392.9242274536161,1548.4569076330358,2846.2868770134205
2008-01-21,13216656.437419794,4243.770970521657,4688.202231057614,6262.755971319268,288.65094879234454,1136.4995600641791,2144.660383856436
2008-01-22,6812314.961067811,2062.0543860269627,2262.30664029725,3226.333503246894,137.06040573673218,538.701190187685,1123.2972618916701
2008-01-23,3489133.34010483,981.0003227577786,1079.282427794802,1643.3024389259897,64.2570179539444,252.0716313202967,582.2508235734776
2008-01-24,1885698.4513641181,494.3419217266461,548.1635136910454,881.2235185791574,32.10535678005062,125.7080706162808,316.1620095377072
2008-01-25,1083155.75488727,268.2093623914519,300.134239410048,503.7550201169735,17.31996153016698,67.70317875606652,182.16052711460256
2008-01-26,663257.4558261626,156.56855261955832,176.85673516657937,306.94442840424097,10.074621619964232,39.32340907209989,111.59403769817227
2008-01-27,429692.8301333067,97.42518088330924,111.04828174505657,197.7846685071585,6.2558151674164835,24.3862342116414,72.19030580534789
2008-01-28,291989.8986142358,63.97864525482322,73.54050920686335,133.64049430046003,4.103597573292207,15.978433828217003,48.923041387335125
2008-01-29,206523.21798621473,43.95145676787069,50.90996502496323,93.9815722579629,2.817770301985257,10.960872652924241,34.48435692937258
2008-01-30,156633.2150217984,32.223741865949606,37.63058748792148,69.76020093667546,2.0712347504818025,8.049671246581665,25.788950508291606
2008-01-31,713917.7663478081,199.001292899748,232.83844622025765,553.6152624111559,14.312517623971296,56.337830164774324,184.4661797362006
2008-02-01,727527.7241406862,197.23327214527578,230.28349525283468,556.2023168736434,14.003879416656572,55.1026950008733,190.32335675346962
2008-02-02,580734.7548835501,144.9926452310787,170.92041525227265,442.98286631259634,10.220131355434217,40.14299649672732,155.2928689427622
2008-02-03,412522.13140590803,96.5594999288575,115.11058794627854,327.89008809446864,6.76869749625969,26.538957930990538,116.25774424976785
2008-02-04,319682.3799638401,68.17576294337817,85.38809308277037,291.55056402469546,4.966991001465098,19.444239023840442,102.40614554150797
2008-02-05,241426.68789698038,47.620638118788655,62.03931629676494,234.94532436380436,3.564713913220881,13.933441626965719,82.73660030852862
2008-02-06,191219.18863510282,34.397024028885426,46.38053286407485,191.59805521371803,2.644881085809451,10.31807459098493,67.78955639821487
2008-02-07,195801.19430007826,29.754118262977347,44.756301479007966,199.8501753106103,2.648349220735302,10.329305417926212,70.57253216742151
2008-02-08,286892.2795700491,35.862743169327224,72.00313398507944,245.34850858201048,4.363719851657641,17.089411402941405,87.76132249736764
2008-02-09,330778.2555080254,34.68769222300834,79.26627899542801,236.8948499841808,4.789597704468031,18.74669453005992,87.53499394506778
2008-02-10,2571553.6381448875,283.52296507504684,906.8059078341895,1203.935468014426,56.612807572267265,223.22109014709585,421.62979261846874
2008-02-11,7447493.026589492,836.0068639936496,2697.859159692789,3176.5897926268794,167.90829138356887,661.936348620245,1096.9841888277838
2008-02-12,29935192.245879684,3505.1947780635014,11875.925419354338,14731.07984303416,747.9028525693681,2952.049612290928,4867.310328844789
2008-02-13,16673888.769709237,1893.3449593262567,6204.718199036852,8287.603622209199,384.43731960675626,1515.0292139446615,2791.8864089642493
2008-02-14,8152628.1446501305,876.2061971941615,2760.536886307186,4000.0084875393177,167.78130577280785,659.7494204702627,1381.7118342726337
2008-02-15,76809833.67502066,9128.856475066596,31720.891605003337,14624.39067702183,1997.8570085189388,7889.2021701866925,4736.963146354407
2008-02-16,33504204.936840113,3887.0240447171127,13088.471242559463,9932.741118520618,813.9119706402115,3209.8872177258836,3322.455854963218
2008-02-17,18451207.978317708,2078.881840834662,7000.442993319517,6475.557811975566,434.9396500337113,1714.7441257552405,2201.715466811565
2008-02-18,9014429.523246853,961.9424098522217,3178.4942698761074,3226.2068970098585,196.03888828347462,771.9275783572326,1134.785964055801
2008-02-19,4383616.952627384,441.36795549229083,1420.9409752055494,1567.4123705220452,86.51220858852784,340.0531839471846,568.5317500639502
2008-02-20,2332271.4086424774,220.3960061250191,692.1500910809813,819.2407616128422,41.49523940936131,162.76529246002053,306.2012366378667
